date,zone_id,zone_name,consumption_m3,tariff_sar_per_m3,is_actual_leak_period,baseline_m3,residual_m3,z_score,pct_over_baseline,predicted_leak,excess_m3,financial_loss_sar
2026-06-20,Z1,Industrial Plant - Riyadh,446.91,5.5,False,466.45,-19.539999999999964,-0.7720884264893163,-0.04189087790759988,False,0.0,0.0
2026-06-21,Z1,Industrial Plant - Riyadh,451.5,5.5,False,466.45,-14.949999999999989,-0.5907227213927989,-0.032050594919069544,False,0.0,0.0
2026-06-22,Z1,Industrial Plant - Riyadh,482.41,5.5,False,466.45,15.960000000000036,0.6306310791591371,0.03421588594704692,False,0.0,0.0
2026-06-23,Z1,Industrial Plant - Riyadh,495.6,5.5,False,466.45,29.150000000000034,1.151810523652182,0.06249330046092836,False,0.0,0.0
2026-06-24,Z1,Industrial Plant - Riyadh,476.92,5.5,False,466.45,10.470000000000027,0.41370347110251676,0.022446135705863495,False,0.0,0.0
2026-06-25,Z1,Industrial Plant - Riyadh,466.45,5.5,False,466.45,0.0,0.0,0.0,False,0.0,0.0
2026-06-26,Z1,Industrial Plant - Riyadh,459.21,5.5,False,466.45,-7.240000000000009,-0.2860757527012624,-0.015521492121342071,False,0.0,0.0
2026-06-27,Z1,Industrial Plant - Riyadh,421.91,5.5,False,466.45,-44.539999999999964,-1.7599190642699172,-0.09548719048129481,False,0.0,0.0
2026-06-28,Z1,Industrial Plant - Riyadh,389.68,5.5,False,462.83,-73.14999999999998,-2.8903924461460377,-0.1580493917853207,False,0.0,0.0
2026-06-29,Z1,Industrial Plant - Riyadh,452.58,5.5,False,459.21,-6.6299999999999955,-0.2619726851394152,-0.014437838897236549,False,0.0,0.0
2026-06-30,Z1,Industrial Plant - Riyadh,472.91,5.5,False,455.895,17.015000000000043,0.6723175320734788,0.03732219041665305,False,0.0,0.0
2026-07-01,Z1,Industrial Plant - Riyadh,446.34,5.5,False,459.21,-12.870000000000005,-0.5085352123294535,-0.028026393153459214,False,0.0,0.0
2026-07-02,Z1,Industrial Plant - Riyadh,448.22,5.5,False,455.895,-7.6749999999999545,-0.3032640057986427,-0.016835016835016738,False,0.0,0.0
2026-07-03,Z1,Industrial Plant - Riyadh,443.94,5.5,False,452.58,-8.639999999999986,-0.3413942684169752,-0.019090547527508918,False,0.0,0.0
2026-07-04,Z1,Industrial Plant - Riyadh,415.27,5.5,False,452.03999999999996,-36.76999999999998,-1.4529013020477073,-0.08134235908326694,False,0.0,0.0
2026-07-05,Z1,Industrial Plant - Riyadh,391.73,5.5,False,451.5,-59.76999999999998,-2.36170548880586,-0.13238095238095235,False,0.0,0.0
2026-07-06,Z1,Industrial Plant - Riyadh,426.19,5.5,False,449.86,-23.670000000000016,-0.9352780478506736,-0.05261636953718938,False,0.0,0.0
2026-07-07,Z1,Industrial Plant - Riyadh,451.63,5.5,False,448.22,3.409999999999968,0.13474009899327272,0.007607871134710562,False,0.0,0.0
2026-07-08,Z1,Industrial Plant - Riyadh,498.55,5.5,False,449.86,48.69,1.9238989501414983,0.10823367269817276,False,0.0,0.0
2026-07-09,Z1,Industrial Plant - Riyadh,491.09,5.5,False,451.5,39.589999999999975,1.5643285979893586,0.08768549280177182,False,0.0,0.0
2026-07-10,Z1,Industrial Plant - Riyadh,481.9,5.5,False,451.565,30.33499999999998,1.1986336958829804,0.06717748275442069,False,0.0,0.0
2026-07-11,Z1,Industrial Plant - Riyadh,437.8,5.5,False,451.63,-13.829999999999984,-0.5464679088202278,-0.030622412151539942,False,0.0,0.0
2026-07-12,Z1,Industrial Plant - Riyadh,427.15,5.5,False,451.565,-24.41500000000002,-0.9647154008565357,-0.054067520733449274,False,0.0,0.0
2026-07-13,Z1,Industrial Plant - Riyadh,472.37,5.5,False,451.5,20.870000000000005,0.8246410164192459,0.046223698781838324,False,0.0,0.0
2026-07-14,Z1,Industrial Plant - Riyadh,472.2,5.5,False,451.565,20.63499999999999,0.8153554084241077,0.04569663282140997,False,0.0,0.0
2026-07-15,Z1,Industrial Plant - Riyadh,456.83,5.5,False,451.63,5.199999999999989,0.20546877265836455,0.011513849832827732,False,0.0,0.0
2026-07-16,Z1,Industrial Plant - Riyadh,441.12,5.5,False,452.105,-10.985000000000014,-0.43405278224079663,-0.024297453025292827,False,0.0,0.0
2026-07-17,Z1,Industrial Plant - Riyadh,445.22,5.5,False,451.63,-6.409999999999968,-0.2532797755269448,-0.014193034120851069,False,0.0,0.0
2026-07-18,Z1,Industrial Plant - Riyadh,414.91,5.5,False,451.565,-36.65499999999997,-1.448357281113916,-0.08117325302005242,False,0.0,0.0
2026-07-19,Z1,Industrial Plant - Riyadh,420.41,5.5,False,451.565,-31.154999999999973,-1.2047447104195657,-0.06899338965597417,False,0.0,0.0
2026-07-20,Z1,Industrial Plant - Riyadh,446.83,5.5,False,449.925,-3.0950000000000273,-0.10340799507517412,-0.0068789242651553645,False,0.0,0.0
